id,prime_name,top_10,synonyms/0,synonyms/1,synonyms/2,synonyms/3,synonyms/4
168,Saint‐Macaire,,,,,,
169,Sangiovese,,Sangioveto,,,,
170,Saperavi,,,,,,
171,Sauvignon Blanc,true,Fumé Blanc,Sauvignon,,,
172,Sauvignonasse,,Sauvignon vert,,,,
173,Sauvignon Gris,,,,,,
174,Savagnin,,Savagnin Blanc,Traminer,,,
175,Scheurebe,,,,,,
176,Schönburger,,Schoenburger,Schonburger,,,
177,Schioppettino,,,,,,
178,Semillon,true,,,,,
179,Sercial,,,,,,
180,Shiraz,true,Syrah,,,,
181,Siegerrebe,,,,,,
182,Souzao,,Sousao,Vinhao,,,
183,Sultana,,Sultanina,Thompson Seedless,,,
184,Sumoll,,,,,,
185,Sylvaner,,Silvaner,,,,
186,Symphony,,,,,,
187,Syrian,,,,,,
188,Taminga,,,,,,
189,Tannat,,,,,,
190,Tarrango,,,,,,
191,Tempranillo,,Aragonez,Tinta Roriz,,,
192,Teroldego,,,,,,
193,Terret Noir,,,,,,
194,Tinta Amarela,,Trincadeira,Trincadeira Preta,Tinta Amarelha,,
195,Tinta Barroca,,Tinta Barocca,,,,
196,Tintilia,,,,,,
197,Tinto Câo,,Tinta Câo,,,,
198,Tinta Francisca,,,,,,
199,Tinta Negra Mole,,Tinta Negra,Negramoll,,,
200,Torrontes,,,,,,
201,Touriga Franca,,Touriga Francesa,,,,
202,Touriga,,Touriga Nacional,,,,
203,Trebbiano,,Ugni Blanc,,,,
204,Trollinger,,,,,,
205,Trousseau,,,,,,
206,Tulillah,,,,,,
207,Tyrian,,,,,,
208,Vaccarese,,Brun Argente,,,,
209,Valdiguié,,,,,,
210,Page 7 of 8,,,,,,
211,Wine Australia,,,,,,
212,OIV list of grape vine varieties and their synonyms (Australia),,,,,,
213,Verdejo,,,,,,
214,Verdelho,,,,,,
215,Verdicchio Bianco,,,,,,
216,Verduzzo,,,,,,
217,Vermentino,,Rolle,,,,
218,Vernaccia,,,,,,
219,Villard Blanc,,,,,,
220,Viognier,,,,,,
221,Viosinho,,,,,,
222,White Frontignac,,Muscat à petits grains blancs,,,,
223,Xarello,,,,,,
224,Zinfandel,,Primitivo,Tribidrag,,,
225,Zweigelt,,Zweigeltrebe,,,,
